dataset,p,k,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
Breast,24481,22032,0.7584545454545454,0.7441414141414141,0.7618181818181818,-0.014313131313131278,0.0033636363636363907,0.7010526315789474,0.6910526315789474,0.7010526315789474,-0.010000000000000009,-2.2204460492503132e-17
madelon,500,450,0.7671642011834319,0.772534023668639,0.7672884615384616,0.0053698224852070766,0.00012426035502959286,0.6992307692307692,0.6938461538461539,0.6896153846153845,-0.005384615384615365,-0.009615384615384626
slashdot,1120,1008,0.4806370157448603,0.520736564499444,0.5254204519969048,0.040099548754583755,0.04478343625204453,0.9960338428634333,0.9960338428634333,0.9960338428634333,0.0,0.0
hepatitis,42,37,0.8577142857142859,0.8263095238095237,0.8263095238095237,-0.031404761904761956,-0.031404761904761956,0.8258064516129032,0.8064516129032258,0.8064516129032258,-0.019354838709677424,-0.019354838709677424
Musk2,168,151,0.9999964860496171,0.9999991215124042,1.0,2.6354627872260394e-06,3.5139503830272646e-06,0.9969686631286327,0.997574953477152,0.997423438325637,0.0006062903485193116,0.0004547751970041647
RELATHE,4322,3889,0.9614163267148148,0.9607924915153838,0.9595337118303243,-0.0006238351994310553,-0.0018826148844903966,0.9096012759170653,0.9117016317016317,0.9124132008342535,0.0021003557845663103,0.002811924917188047
