dataset,p,k,feature_ratio,feature_pct,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
Breast,24481,24481,1.0,100.0,1.0,1.0,1.0,0.7584545454545454,0.7584545454545454,0.7584545454545454,0.0,0.0,1.0,1.0,1.0,0.7010526315789474,0.7010526315789474,0.7010526315789474,0.0,0.0
Breast,24481,22033,0.9,90.0,1.0,1.0,1.0,0.7584545454545454,0.7619595959595958,0.7707474747474746,0.0035050505050505222,0.01229292929292931,1.0,1.0,1.0,0.7010526315789474,0.7010526315789474,0.6805263157894736,0.0,-0.02052631578947368
Breast,24481,19585,0.8,80.0,1.0,1.0,1.0,0.7584545454545454,0.7508484848484848,0.7449191919191918,-0.007606060606060572,-0.013535353535353511,1.0,1.0,1.0,0.7010526315789474,0.6699999999999999,0.6910526315789474,-0.031052631578947377,-0.009999999999999986
Breast,24481,17137,0.7,70.0,1.0,1.0,1.0,0.7584545454545454,0.7593535353535353,0.7571313131313131,0.0008989898989899547,-0.001323232323232304,1.0,1.0,1.0,0.7010526315789474,0.6805263157894738,0.6805263157894736,-0.02052631578947368,-0.02052631578947368
Breast,24481,14689,0.6,60.0,1.0,1.0,1.0,0.7584545454545454,0.7577373737373737,0.7507272727272728,-0.0007171717171716941,-0.007727272727272671,1.0,1.0,1.0,0.7010526315789474,0.7015789473684211,0.6699999999999999,0.0005263157894736636,-0.031052631578947377
Breast,24481,12240,0.5,50.0,1.0,1.0,1.0,0.7584545454545454,0.7344444444444445,0.7428484848484849,-0.02401010101010097,-0.015606060606060578,1.0,1.0,1.0,0.7010526315789474,0.7215789473684211,0.6399999999999999,0.02052631578947368,-0.06105263157894738
Breast,24481,9792,0.4,40.0,1.0,1.0,1.0,0.7584545454545454,0.7626262626262627,0.7393737373737373,0.0041717171717172265,-0.019080808080808052,1.0,1.0,1.0,0.7010526315789474,0.6915789473684211,0.6494736842105263,-0.009473684210526323,-0.05157894736842107
Breast,24481,7344,0.3,30.0,1.0,1.0,1.0,0.7584545454545454,0.744989898989899,0.7514141414141415,-0.013464646464646401,-0.007040404040403958,1.0,1.0,1.0,0.7010526315789474,0.6805263157894738,0.6905263157894737,-0.02052631578947368,-0.010526315789473707
Breast,24481,4896,0.2,20.0,1.0,1.0,1.0,0.7584545454545454,0.7807979797979797,0.7647474747474747,0.022343434343434377,0.00629292929292935,1.0,1.0,1.0,0.7010526315789474,0.6700000000000002,0.6599999999999999,-0.031052631578947377,-0.04105263157894736
Breast,24481,2448,0.1,10.0,1.0,1.0,1.0,0.7584545454545454,0.7504848484848485,0.7527575757575757,-0.007969696969696937,-0.005696969696969667,1.0,1.0,1.0,0.7010526315789474,0.6810526315789474,0.6915789473684211,-0.019999999999999997,-0.009473684210526323
Breast,24481,1224,0.05,5.0,1.0,1.0,1.0,0.7584545454545454,0.735010101010101,0.7294949494949495,-0.0234444444444444,-0.028959595959595918,1.0,1.0,1.0,0.7010526315789474,0.6505263157894736,0.711578947368421,-0.050526315789473676,0.010526315789473672
madelon,500,500,1.0,100.0,1.0,1.0,1.0,0.7671642011834319,0.7671642011834319,0.7671642011834319,0.0,0.0,1.0,1.0,1.0,0.6992307692307692,0.6992307692307692,0.6992307692307692,0.0,0.0
