Dataset,Initial_AUC,GT_AUC_Initial,Peeling_Status,Remaining_Samples,Base_Peeled_AUC,Peeled_FS_AUC,Peeled_GT_AUC
RELATHE,0.9077496665723639,0.7704340621589945,Fail,47,0.7735864689002951,0.4826658044699511,0.733781271470719
SMK-CAN-187,0.6972455648926237,0.7070494864612512,Fail,50,0.7126517273576097,0.6988795518207284,0.7007469654528479
