dataset,selector,algorithm,selection_value,k_features,epoch,split,train_loss
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,74,train,0.0513801090419292
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,75,train,0.0504038371145725
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,76,train,0.0482951551675796
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,77,train,0.0481134392321109
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,78,train,0.0507126972079277
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,79,train,0.0489400997757911
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,80,train,0.0477501824498176
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,81,train,0.0485636927187442
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,82,train,0.0480197444558143
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,83,train,0.049485120922327
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,84,train,0.0505129359662532
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,85,train,0.0485839024186134
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,86,train,0.0500384271144866
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,87,train,0.0480081960558891
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,88,train,0.0487495511770248
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,89,train,0.0504554659128189
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,90,train,0.0484538897871971
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,91,train,0.0498241111636161
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,92,train,0.0484797023236751
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,93,train,0.0505779795348644
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,94,train,0.0489375367760658
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,95,train,0.0522085800766944
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,96,train,0.0483652390539646
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,97,train,0.0474782846868038
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,98,train,0.0490517802536487
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,99,train,0.0497696921229362
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,100,train,0.0474267825484275
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,1,validation,0.0558572299778461
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,2,validation,0.0548069700598716
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,3,validation,0.0539905130863189
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,4,validation,0.0530318729579448
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,5,validation,0.0532525368034839
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,6,validation,0.0540287867188453
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,7,validation,0.0553224682807922
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,8,validation,0.0565287843346595
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,9,validation,0.0569148883223533
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,10,validation,0.0573996417224407
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,11,validation,0.0606298930943012
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,12,validation,0.0651806741952896
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,13,validation,0.0709926262497901
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,14,validation,0.077501393854618
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,15,validation,0.0866932496428489
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,16,validation,0.0985609591007232
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,17,validation,0.1176755055785179
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,18,validation,0.1370735615491867
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,19,validation,0.1728596985340118
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,20,validation,0.2064314186573028
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,21,validation,0.22589211165905
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,22,validation,0.2409940212965011
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,23,validation,0.2814527451992035
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,24,validation,0.2868492603302002
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,25,validation,0.3162317872047424
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,26,validation,0.3214848041534424
Breast,concrete_autoencoder,ConcreteAutoencoder,60,60,27,validation,0.3969196677207947
