dataset_name,k_features,Accuracy,AUC
madelon,1,0.5057692307692307,0.4989717565948129
madelon,5,0.4980769230769231,0.5150759716530307
madelon,10,0.8788461538461538,0.9456288559127695
madelon,30,0.9057692307692308,0.9578938024293175
madelon,60,0.9076923076923077,0.9660013907176991
