dataset_name,k_features,Accuracy,AUC
RELATHE,1,0.5314685314685315,0.5208906127258445
RELATHE,5,0.5314685314685315,0.5208906127258445
RELATHE,10,0.5209790209790209,0.5357668892380205
RELATHE,30,0.5944055944055944,0.5992979183032209
RELATHE,60,0.5874125874125874,0.6319471720345641
