dataset_name,k_features,Accuracy,AUC
leukemia,1,0.7333333333333333,0.7727272727272727
leukemia,5,0.8,0.8409090909090909
leukemia,10,0.6666666666666666,0.7954545454545455
leukemia,30,0.8666666666666667,0.9772727272727273
leukemia,60,0.9333333333333333,0.9772727272727273
