dataset_name,k_features,Accuracy,AUC
colon,1,0.6153846153846154,0.5625
colon,5,0.6153846153846154,0.65
colon,10,0.7692307692307693,0.8
colon,30,0.38461538461538464,0.45
colon,60,0.6923076923076923,0.7000000000000001
