method,auc_all,auc_gt,cost,size_penalty,balance_penalty,gt_penalty,total_penalty,feasible,selected_size,positive_ratio,minority_ratio
Simulated Annealing,0.7068,0.976,0.7068,0.0,0.0,0.0,0.0,True,70,0.44285714285714284,0.44285714285714284
Genetic Algorithm,0.5212,0.9692000000000001,0.5212,0.0,0.0,0.0,0.0,True,55,0.45454545454545453,0.45454545454545453
