dataset,feature_selection_method,selection_value,stg_feature_ratio,lspin_feature_ratio,lambda_value,lspin_lambda_value,p,stg_k,lspin_k,stg_selected_features_mean,lspin_selected_features_mean,baseline_train_auc_mean,stg_train_auc_mean,lspin_train_auc_mean,baseline_auc_mean,stg_auc_mean,lspin_auc_mean,stg_auc_delta_mean,lspin_auc_delta_mean,baseline_train_accuracy_mean,stg_train_accuracy_mean,lspin_train_accuracy_mean,baseline_accuracy_mean,stg_accuracy_mean,lspin_accuracy_mean,stg_accuracy_delta_mean,lspin_accuracy_delta_mean
madelon,lamda_tuning,stg=0.9|lspin=0.01,1.0,0.612,0.9,0.01,500,500,306,500.0,305.8,1.0,1.0,1.0,0.9712529585798816,0.9712529585798816,0.6474008875739645,0.0,-0.3238520710059172,1.0,1.0,1.0,0.9192307692307692,0.9192307692307692,0.6076923076923078,0.0,-0.3115384615384616
madelon,lamda_tuning,stg=1.09999|lspin=0.0316228,1.0,0.61,1.0999905824917022,0.03162277660168379,500,500,305,499.8,305.0,1.0,1.0,1.0,0.9712529585798816,0.9717440828402367,0.6445828402366864,0.000491124260355047,-0.32667011834319526,1.0,1.0,1.0,0.9192307692307692,0.9203846153846154,0.6076923076923078,0.0011538461538461498,-0.3115384615384616
madelon,lamda_tuning,stg=1.34442|lspin=0.1,0.824,0.606,1.3444214239671495,0.1,500,412,303,411.8,302.8,1.0,0.9999996301775148,1.0,0.9712529585798816,0.9712707100591718,0.6409171597633136,1.775147928997356e-05,-0.33033579881656805,1.0,0.9999038461538461,1.0,0.9192307692307692,0.9196153846153846,0.6034615384615385,0.00038461538461536103,-0.3157692307692308
madelon,lamda_tuning,stg=1.64317|lspin=0.316228,0.232,0.578,1.6431676725154982,0.31622776601683794,500,116,289,116.2,289.2,1.0,0.9999998150887575,0.9999992603550296,0.9712514792899409,0.9705887573964498,0.618819526627219,-0.0006627218934911472,-0.35243195266272187,1.0,0.9999038461538461,0.9995192307692307,0.9192307692307692,0.9165384615384615,0.5873076923076923,-0.0026923076923077048,-0.331923076923077
madelon,lamda_tuning,stg=2.0083|lspin=1,0.04,0.47,2.0082988502465082,1.0,500,20,235,20.2,235.2,1.0,0.9999987056213018,0.9999972263313609,0.9712559171597632,0.9697352071005918,0.5949408284023668,-0.0015207100591716483,-0.3763150887573965,1.0,0.9995192307692309,0.999423076923077,0.9192307692307692,0.9126923076923077,0.5603846153846154,-0.006538461538461537,-0.3588461538461539
madelon,lamda_tuning,stg=2.45457|lspin=3.16228,0.016,0.024,2.4545664690000804,3.1622776601683795,500,8,12,8.4,11.6,1.0,0.9999540495562129,1.0,0.9712529585798816,0.9643091715976333,0.5930502958579882,-0.0069437869822484895,-0.37820266272189357,1.0,0.9968269230769231,0.9999038461538461,0.9192307692307692,0.9065384615384614,0.5592307692307692,-0.012692307692307715,-0.36
madelon,lamda_tuning,stg=3|lspin=10,0.008,0.004,3.0,10.0,500,4,2,4.4,2.0,1.0,0.9720888498520711,0.9999681952662721,0.9712529585798816,0.8931139053254438,0.5939112426035502,-0.07813905325443786,-0.37734171597633137,1.0,0.9196153846153846,0.9993269230769231,0.9192307692307692,0.8123076923076923,0.5673076923076923,-0.10692307692307694,-0.3519230769230769
